learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,mean_rmse,mean_mae,mean_r2,mean_mape
0.03,8,3,0.7,0.6,30.296101997936443,7.609378127244414,0.9619122535799131,2.609533444111814
0.05,8,3,0.85,0.6,30.301903214633477,7.691342897162866,0.9619542638884208,2.649914559230342
0.03,8,2,0.7,0.6,30.312802315238027,7.635746966367045,0.9621585170271134,2.628061017431215
0.03,8,1,0.85,0.6,30.316595968102718,7.604568614253291,0.9622377886430133,2.6222636321946773
0.03,10,1,0.7,0.6,30.32143271321133,7.647642018959004,0.9622622833012979,2.6323972019808672
0.03,8,3,0.7,0.8,30.37552571298218,7.747045952933176,0.9619908417454194,2.768053657875555
0.03,8,2,0.7,0.8,30.44983467392426,7.7164924324883355,0.9619605381168623,2.7845062580563384
0.03,8,3,0.85,0.8,30.487242362982947,7.734813925727966,0.9619200475327265,2.767406582570934
0.05,8,1,0.85,0.8,30.48805819236823,7.742086922983644,0.9619359280510225,2.8154750823729886
0.03,10,2,0.7,0.8,30.519776134082505,7.819800007734349,0.9618692698357812,2.759698276500628
0.03,8,1,0.85,0.8,30.570311042995275,7.799362949189685,0.9614416120818841,2.7749383873007982
0.03,8,2,0.85,0.6,30.58017290432055,7.624728720326903,0.9615318869532747,2.6070157166819774
0.05,8,3,0.7,0.8,30.649301844116827,7.838628041908224,0.9613645646040474,2.753127447041887
0.05,10,1,0.7,0.6,30.76131715898079,7.823115434999819,0.9613040590465101,2.692865555604079
0.03,8,3,0.85,0.6,30.775494365092353,7.638148580480505,0.9608404832040808,2.594545523304606
0.05,6,2,0.7,0.8,30.789507645352025,8.093449825912556,0.960869399540764,2.781750759569171
0.03,8,2,0.85,0.8,30.87768928790677,7.790257881003083,0.960801185705305,2.8088218802723697
0.05,8,3,0.85,0.8,30.92118228714095,7.845650357846861,0.9609803141882374,2.841872201342552
0.03,10,2,0.85,0.6,31.06967702682597,7.768690590833231,0.9607806796958527,2.685592712169683
0.05,10,1,0.85,0.6,31.09133979554069,7.93387317354717,0.9604988960873948,2.7425447070487037
0.03,10,2,0.7,0.6,31.11424729921323,7.801931693263785,0.9604617316615016,2.6582703275724886
0.05,10,2,0.7,0.6,31.259478811179584,7.9399876050595894,0.9606268680688104,2.7399583366177604
0.05,8,2,0.7,0.8,31.27591310576259,7.935333182723434,0.9596634454027204,2.7575844522698283
0.03,10,3,0.7,0.6,31.284623385818453,7.779415140707027,0.9599170715637739,2.6361321522205525
0.05,8,1,0.7,0.8,31.342515274275506,7.9208005057440865,0.9595657062592018,2.7739528523867376
0.03,10,1,0.7,0.8,31.365149377658632,7.756995773719103,0.9602016639821103,2.729743911679901
0.03,10,1,0.85,0.6,31.389012466449188,7.76748555804056,0.9595408194790656,2.673326150936129
0.05,10,3,0.7,0.6,31.42962609732038,7.852185779753185,0.9598720715153568,2.6708834043115655
0.05,8,2,0.85,0.8,31.43790912351411,7.914341154754478,0.95953580571114,2.831177069877641
0.03,10,3,0.85,0.6,31.749673671385956,7.720470581054688,0.9590897027913298,2.6460098495545195
0.05,10,2,0.85,0.6,31.83282610692325,8.05390313325105,0.9586161489937486,2.7556034392890467
0.03,10,3,0.7,0.8,31.960665034291353,7.83507485707601,0.9586662934106407,2.771435321690422
0.05,10,3,0.85,0.6,32.02626754383329,8.032475055109256,0.9581958719288699,2.7612027040290616
0.03,10,2,0.85,0.8,32.30549773689858,7.937942965674022,0.9574188909120286,2.8059583647861324
0.05,10,1,0.7,0.8,32.308738509112366,8.172638559896479,0.9578430055482062,2.8302589081101557
0.05,10,3,0.85,0.8,32.322553361315975,8.003099245949397,0.9575663951805418,2.7796338317899867
0.05,10,3,0.7,0.8,32.39346257370911,8.071834588429285,0.9575257247611226,2.7928530034405012
0.03,10,3,0.85,0.8,32.50474628757924,7.981134587040653,0.9572590690292446,2.823147940025602
0.05,10,2,0.7,0.8,32.70054025248669,8.054469268233689,0.957197530918058,2.8225394982061305
0.05,10,1,0.85,0.8,32.701451500595844,8.059202386765254,0.9560491302315202,2.8179315311842217
0.03,10,1,0.85,0.8,32.723858802140796,8.012968760495463,0.95675476166447,2.8201295459793707
0.05,10,2,0.85,0.8,32.778022276089644,8.118101714199813,0.9561720398276878,2.817044207401099
0.01,8,1,0.85,0.6,51.00263412975161,20.28005341322964,0.8965028644077213,8.111048266202003
0.01,8,2,0.85,0.8,51.07067187571849,20.530676902690256,0.8963065202607036,8.300092406398955
