feature,importance,split
DTF_season_sin_-0.0901900042703451,0.0,0
DTF_season_sin_-0.0730451882110474,0.0,0
DTF_season_sin_-0.0558787569053731,0.0,0
DTF_season_sin_-0.0386957901765268,0.0,0
DTF_season_sin_-0.0215013727408137,0.0,0
DTF_season_sin_-0.0043005927029819,0.0,0
DTF_season_sin_0.0172015754182605,0.0,0
DTF_season_sin_0.034398060613608,0.0,0
DTF_season_sin_0.0515843668694083,0.0,0
DTF_season_sin_0.0687554084811394,0.0,0
DTF_season_cos_-0.8105309990194823,0.0,0
DTF_season_cos_-0.8003361849976323,0.0,0
DTF_season_cos_-0.7899045386224707,0.0,0
DTF_season_cos_-0.7792391467859886,0.0,0
DTF_season_cos_-0.7683431655492202,0.0,0
DTF_season_cos_-0.7572198192083127,0.0,0
DTF_season_cos_-0.7458723993404063,0.0,0
DTF_season_cos_-0.734304263829602,0.0,0
DTF_season_cos_-0.722518835873311,0.0,0
DTF_season_cos_-0.7105196029692745,0.0,0
DTF_season_cos_-0.6983101158835584,0.0,0
DTF_season_cos_-0.6858939875998223,0.0,0
DTF_season_cos_-0.673274892250183,0.0,0
DTF_season_cos_-0.6604565640279754,0.0,0
DTF_season_cos_-0.6474427960827475,0.0,0
DTF_season_cos_-0.6342374393978054,0.0,0
DTF_season_cos_-0.620844401650647,0.0,0
DTF_season_cos_-0.6072676460566135,0.0,0
DTF_season_cos_-0.593511190196115,0.0,0
DTF_season_cos_-0.5795791048257612,0.0,0
DTF_season_cos_-0.5654755126737576,0.0,0
DTF_season_cos_-0.5512045872199277,0.0,0
DTF_season_cos_-0.5367705514607103,0.0,0
DTF_season_cos_-0.522177676659508,0.0,0
DTF_season_cos_-0.5074302810827518,0.0,0
DTF_season_cos_-0.4925327287220543,0.0,0
DTF_season_cos_-0.4774894280028391,0.0,0
DTF_season_cos_-0.4623048304798108,0.0,0
DTF_season_cos_-0.4469834295196741,0.0,0
DTF_season_cos_-0.4315297589714714,0.0,0
DTF_season_cos_-0.4159483918249421,0.0,0
DTF_season_cos_-0.4002439388573056,0.0,0
DTF_season_cos_-0.3844210472688554,0.0,0
DTF_season_cos_-0.3684843993077793,0.0,0
DTF_season_cos_-0.3524387108846032,0.0,0
DTF_season_cos_-0.3362887301766828,0.0,0
DTF_season_cos_-0.3200392362231385,0.0,0
DTF_season_cos_-0.3036950375106588,0.0,0
DTF_season_cos_-0.2872609705505963,0.0,0
DTF_season_cos_-0.2707418984477642,0.0,0
DTF_season_cos_-0.2541427094613622,0.0,0
DTF_season_cos_-0.2374683155584684,0.0,0
DTF_season_cos_-0.2207236509605022,0.0,0
DTF_season_cos_-0.2039136706831147,0.0,0
DTF_season_cos_-0.1870433490699165,0.0,0
DTF_season_cos_-0.1701176783204905,0.0,0
DTF_season_cos_-0.15314166701312,0.0,0
DTF_season_cos_-0.136120338622667,0.0,0
DTF_season_cos_-0.1190587300340498,0.0,0
DTF_season_cos_-0.1019618900517457,0.0,0
DTF_season_cos_-0.0848348779057653,0.0,0
DTF_season_cos_-0.0676827617545516,0.0,0
DTF_season_cos_-0.0505106171852228,0.0,0
