test_listing_id,neighbor_listing_id,rank,distance
21643108,13364507,5,0.0001722574234008789
21654431,21581145,1,0.0004342794418334961
43878239,683068628958037060,1,2.3186206817626953e-05
43878239,49831169,2,2.3484230041503906e-05
43878239,25065979,3,2.6345252990722656e-05
43878239,747183865312684739,4,2.7120113372802734e-05
43878239,522412092630105570,5,2.8014183044433594e-05
43888481,46573917,1,5.3763389587402344e-05
43888481,44333812,2,5.4836273193359375e-05
43888481,49668591,3,5.53131103515625e-05
43888481,468441,4,5.829334259033203e-05
43888481,854147646638952613,5,6.437301635742188e-05
21653507,22276346,1,9.703636169433594e-05
21653507,43629723,2,0.00019359588623046875
21653507,36019198,3,0.00021469593048095703
21653507,4168483,4,0.0002250075340270996
21653507,43981726,5,0.00023305416107177734
1256477,781079943253762530,1,0.035597145557403564
891218055158971518,687561378103350628,1,0.000244140625
891218055158971518,662918674888664542,2,0.0002589225769042969
891218055158971518,46642442,3,0.0002856254577636719
891218055158971518,883934927081135904,4,0.0003046393394470215
891218055158971518,901403103159137278,5,0.00031495094299316406
43890054,37413868,1,0.005358576774597168
759947066122822685,624680695707352716,1,0.00012373924255371094
759947066122822685,762271965625761715,2,0.00012373924255371094
759947066122822685,864281825842617307,3,0.00014591217041015625
759947066122822685,748622699683505970,4,0.00015556812286376953
759947066122822685,927293628250154608,5,0.00018268823623657227
21644278,47702195,1,6.783008575439453e-05
21644278,904914598931248059,2,0.00010722875595092773
21644278,24967793,3,0.00012183189392089844
21644278,800580563822105237,4,0.00012445449829101562
21644278,880338730961587203,5,0.00012445449829101562
43893491,45279151,1,0.0017343759536743164
43936392,33697056,1,0.00022268295288085938
43936392,16235311,2,0.00022399425506591797
43936392,24390664,3,0.0002416372299194336
43936392,18693949,4,0.00028520822525024414
43936392,16299068,5,0.0002897977828979492
891311679965445697,891066113899570858,1,0.00041484832763671875
3368784,861398348894089749,1,0.00020647048950195312
3368784,19340562,2,0.00022399425506591797
3368784,910616086325910880,3,0.00022470951080322266
3368784,37108255,4,0.0002518892288208008
3368784,2726092,5,0.0002703666687011719
760686358811009207,28303033,1,9.119510650634766e-06
760686358811009207,801342064769864163,2,1.2755393981933594e-05
760686358811009207,11448367,3,1.6927719116210938e-05
760686358811009207,798083447697347821,4,1.9431114196777344e-05
760686358811009207,5627102,5,2.2292137145996094e-05
